,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
196,Cordovil,-22.81892452229838,-43.29268320621141,Supermercado Feira Nova,-22.818854923296833,-43.29362690448761,Food & Drink Shop
197,Cordovil,-22.81892452229838,-43.29268320621141,Academia Fly Body,-22.819031634782405,-43.290734245470645,Gym / Fitness Center
198,Cordovil,-22.81892452229838,-43.29268320621141,Praça da Cidade Alta,-22.81985839356172,-43.29215636231085,Plaza
199,Cordovil,-22.81892452229838,-43.29268320621141,Pensão da Elza,-22.81914621482328,-43.29055193722305,Brazilian Restaurant
200,Cordovil,-22.81892452229838,-43.29268320621141,padaria do flamengo,-22.816743055354557,-43.29359558225195,Bakery
201,Cordovil,-22.81892452229838,-43.29268320621141,Lanchonete da Elza,-22.8160457611084,-43.292964935302734,Burger Joint
202,Cordovil,-22.81892452229838,-43.29268320621141,pagode do nogueira,-22.821155274750172,-43.29046227665744,Music Venue
203,Cordovil,-22.81892452229838,-43.29268320621141,Thata's Lanches,-22.81659,-43.29052,Burger Joint
204,Cordovil,-22.81892452229838,-43.29268320621141,Super Hot,-22.822327,-43.293674,Burger Joint
205,Cordovil,-22.81892452229838,-43.29268320621141,Nossa Rede Supermercados Cordovil,-22.82184206774759,-43.29040564884909,Grocery Store
206,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Academia Body Place,-22.81303451887323,-43.204010035789736,Gym
207,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Rei do Peixe,-22.813033758616946,-43.20404939527839,Deli / Bodega
208,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Quiosque das Flores,-22.811848187669302,-43.199786153004126,Flower Shop
209,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Restaurante Lagostinne,-22.815888496046437,-43.20565803414581,Seafood Restaurant
210,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Guanabara Garden,-22.81246507736312,-43.2026643322329,Bed & Breakfast
211,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Praça Jerusalém,-22.815754470347382,-43.200988555544654,Plaza
212,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Praça do Grego,-22.817241391911725,-43.203001467377966,Plaza
213,Jardim Guanabara,-22.8128687571129,-43.20205745949093,Quiosque do Grego,-22.817278986691964,-43.2029343245864,Burger Joint
